title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
300;2006;http://www.icheckmovies.com/movies/300/;64753;3252;5;244;;http://www.imdb.com/title/tt0416449/;"2014-04-23 23:41:57";no;no;no;no
"Hot Fuzz";2007;http://www.icheckmovies.com/movies/hot+fuzz/;41428;3497;4;262;;http://www.imdb.com/title/tt0425112/;"2014-04-23 23:41:55";no;no;no;no
"Star Trek";2009;http://www.icheckmovies.com/movies/star+trek/;60818;3371;8;291;;http://www.imdb.com/title/tt0796366/;"2014-04-23 23:41:53";no;no;no;no
Scarface;1983;http://www.icheckmovies.com/movies/scarface/;52502;3595;16;430;;http://www.imdb.com/title/tt0086250/;"2014-04-23 23:41:46";no;no;no;no
Zombieland;2009;http://www.icheckmovies.com/movies/zombieland/;52729;3598;2;274;;http://www.imdb.com/title/tt1156398/;"2014-04-23 23:41:28";no;no;no;no
Aliens;1986;http://www.icheckmovies.com/movies/aliens/;53372;3612;21;523;;http://www.imdb.com/title/tt0090605/;"2014-04-23 23:41:24";no;no;no;no
"The Royal Tenenbaums";2001;http://www.icheckmovies.com/movies/the+royal+tenenbaums/;32545;3705;6;393;;http://www.imdb.com/title/tt0265666/;"2014-04-23 23:41:23";no;no;no;no
"Ferris Bueller's Day Off";1986;http://www.icheckmovies.com/movies/ferris+buellers+day+off/;46115;3639;9;333;;http://www.imdb.com/title/tt0091042/;"2014-04-23 23:41:19";no;no;no;no
"The Dark Knight Rises";2012;http://www.icheckmovies.com/movies/the+dark+knight+rises/;50140;3846;9;485;;http://www.imdb.com/title/tt1345836/;"2014-04-23 23:41:15";no;no;no;no
Vertigo;1958;http://www.icheckmovies.com/movies/vertigo/;34646;3774;38;777;;http://www.imdb.com/title/tt0052357/;"2014-04-23 23:41:13";no;no;no;no
"Mulholland Dr.";2001;http://www.icheckmovies.com/movies/mulholland+dr./;29843;3733;19;610;"Mulholland Drive";http://www.imdb.com/title/tt0166924/;"2014-04-23 23:41:04";no;no;no;no
Titanic;1997;http://www.icheckmovies.com/movies/titanic/;92805;3736;20;523;;http://www.imdb.com/title/tt0120338/;"2014-04-23 23:41:03";no;no;no;no
"American Psycho";2000;http://www.icheckmovies.com/movies/american+psycho/;43792;3868;8;390;;http://www.imdb.com/title/tt0144084/;"2014-04-23 23:41:01";no;no;no;no
"Lock, Stock and Two Smoking Barrels";1998;http://www.icheckmovies.com/movies/lock+stock+and+two+smoking+barrels/;42936;3884;5;276;;http://www.imdb.com/title/tt0120735/;"2014-04-23 23:41:00";no;no;no;no
"Indiana Jones and the Last Crusade";1989;http://www.icheckmovies.com/movies/indiana+jones+and+the+last+crusade/;71254;3843;13;351;;http://www.imdb.com/title/tt0097576/;"2014-04-23 23:40:59";no;no;no;no
Moon;2009;http://www.icheckmovies.com/movies/moon/;31280;3913;6;342;;http://www.imdb.com/title/tt1182345/;"2014-04-23 23:40:55";no;no;no;no
"The King's Speech";2010;http://www.icheckmovies.com/movies/the+kings+speech/;52805;3984;10;394;;http://www.imdb.com/title/tt1504320/;"2014-04-23 23:40:54";no;no;no;no
"The Fifth Element";1997;http://www.icheckmovies.com/movies/the+fifth+element/;52709;4029;6;248;;http://www.imdb.com/title/tt0119116/;"2014-04-23 23:40:52";no;no;yes;no
"The Sixth Sense";1999;http://www.icheckmovies.com/movies/the+sixth+sense/;83663;4123;21;423;;http://www.imdb.com/title/tt0167404/;"2014-04-23 23:40:48";no;no;no;no
