title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"Austin Powers in Goldmember";2002;http://www.icheckmovies.com/movies/austin+powers+in+goldmember/;44245;526;2;104;"Austin Powers: Goldmember";http://www.imdb.com/title/tt0295178/;"2013-04-04 23:19:06";no;no;no;no
"Shrek the Third";2007;http://www.icheckmovies.com/movies/shrek+the+third/;46685;315;2;145;;http://www.imdb.com/title/tt0413267/;"2013-04-04 23:19:03";no;no;no;no
"Fantastic Four";2005;http://www.icheckmovies.com/movies/fantastic+four/;45940;270;2;116;;http://www.imdb.com/title/tt0120667/;"2013-04-04 23:19:02";no;no;no;no
"Honey, I Shrunk the Kids";1989;http://www.icheckmovies.com/movies/honey+i+shrunk+the+kids/;45046;452;2;73;;http://www.imdb.com/title/tt0097523/;"2013-04-04 23:18:58";no;no;no;no
"Stuart Little";1999;http://www.icheckmovies.com/movies/stuart+little/;46461;232;2;68;;http://www.imdb.com/title/tt0164912/;"2013-04-04 23:18:56";no;no;no;no
"Batman Returns";1992;http://www.icheckmovies.com/movies/batman+returns/;47216;988;5;205;;http://www.imdb.com/title/tt0103776/;"2013-04-04 23:18:54";no;no;no;no
"Space Jam";1996;http://www.icheckmovies.com/movies/space+jam/;48244;1174;2;112;;http://www.imdb.com/title/tt0117705/;"2013-04-04 23:18:48";no;no;no;no
"Charlie's Angels";2000;http://www.icheckmovies.com/movies/charlies+angels/;46331;319;2;85;;http://www.imdb.com/title/tt0160127/;"2013-04-04 23:18:46";no;no;no;no
Hercules;1997;http://www.icheckmovies.com/movies/hercules/;50602;1471;3;128;;http://www.imdb.com/title/tt0119282/;"2013-04-04 23:18:39";no;no;no;no
"The Mummy Returns";2001;http://www.icheckmovies.com/movies/the+mummy+returns/;46894;526;2;91;;http://www.imdb.com/title/tt0209163/;"2013-04-04 23:18:37";no;no;no;no
"Pretty Woman";1990;http://www.icheckmovies.com/movies/pretty+woman/;49367;1236;7;184;;http://www.imdb.com/title/tt0100405/;"2013-04-04 23:18:34";no;no;no;no
"Back to the Future Part III";1990;http://www.icheckmovies.com/movies/back+to+the+future+part+iii/;50268;1733;4;230;;http://www.imdb.com/title/tt0099088/;"2013-04-04 23:17:47";no;no;no;no
"Ocean's Twelve";2004;http://www.icheckmovies.com/movies/oceans+twelve/;48600;716;2;136;;http://www.imdb.com/title/tt0349903/;"2013-04-04 23:17:45";no;no;no;no
"Mission: Impossible";1996;http://www.icheckmovies.com/movies/mission+impossible/;48537;818;3;173;;http://www.imdb.com/title/tt0117060/;"2013-04-04 23:17:44";no;no;no;no
"X-Men: The Last Stand";2006;http://www.icheckmovies.com/movies/x-men+the+last+stand/;49878;736;2;180;;http://www.imdb.com/title/tt0376994/;"2013-04-04 23:17:40";no;no;no;no
"Austin Powers: The Spy Who Shagged Me";1999;http://www.icheckmovies.com/movies/austin+powers+the+spy+who+shagged+me/;48467;723;3;119;;http://www.imdb.com/title/tt0145660/;"2013-04-04 23:17:39";no;no;no;no
"Liar Liar";1997;http://www.icheckmovies.com/movies/liar+liar/;49602;1040;3;110;;http://www.imdb.com/title/tt0119528/;"2013-04-04 23:17:38";no;no;no;no
Troy;2004;http://www.icheckmovies.com/movies/troy/;49916;1155;3;150;;http://www.imdb.com/title/tt0332452/;"2013-04-04 23:17:37";no;no;no;no
Pinocchio;1940;http://www.icheckmovies.com/movies/pinocchio/;53353;821;14;271;;http://www.imdb.com/title/tt0032910/;"2013-04-04 23:17:35";no;no;no;no
"Meet the Fockers";2004;http://www.icheckmovies.com/movies/meet+the+fockers/;49432;470;2;92;;http://www.imdb.com/title/tt0290002/;"2013-04-04 23:17:34";no;no;no;no
"There's Something About Mary";1998;http://www.icheckmovies.com/movies/theres+something+about+mary/;49208;1090;6;156;;http://www.imdb.com/title/tt0129387/;"2013-04-04 23:17:34";no;no;no;no
"Kung Fu Panda";2008;http://www.icheckmovies.com/movies/kung+fu+panda/;53773;1538;3;201;;http://www.imdb.com/title/tt0441773/;"2013-04-04 23:17:32";no;no;no;no
"Alice in Wonderland";2010;http://www.icheckmovies.com/movies/alice+in+wonderland-2010/;52823;1024;2;203;;http://www.imdb.com/title/tt1014759/;"2013-04-04 23:17:31";no;no;no;no
"Indiana Jones and the Temple of Doom";1984;http://www.icheckmovies.com/movies/indiana+jones+and+the+temple+of+doom/;52069;1781;7;266;;http://www.imdb.com/title/tt0087469/;"2013-04-04 23:17:30";no;no;no;no
"One Hundred and One Dalmatians";1961;http://www.icheckmovies.com/movies/one+hundred+and+one+dalmatians/;52131;725;6;130;;http://www.imdb.com/title/tt0055254/;"2013-04-04 23:16:01";no;no;no;no
"Night at the Museum";2006;http://www.icheckmovies.com/movies/night+at+the+museum/;51783;499;2;115;;http://www.imdb.com/title/tt0477347/;"2013-04-04 23:15:59";no;no;no;no
